,city_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,mileage,owner_count,price,seller_rating,year
city_fuel_economy,1.0,0.00955626668427261,-0.6665484047765723,0.9407282667014243,-0.6725282035199251,-0.15117910885513405,-0.127529612311828,-0.17761856143632546,-0.03796809308008972,0.15522656316172959
daysonmarket,0.00955626668427261,1.0,-0.04446608416025868,0.0014957748987217366,-0.019620898539606357,-0.049870944595332534,0.10159900985839815,0.06328823863008111,-0.003905214037690651,-0.0017314696922437493
engine_displacement,-0.6665484047765723,-0.04446608416025868,1.0,-0.6946827876377399,0.8296725876368596,0.1507499376415455,0.12313404599304714,0.3754935778877691,0.02792664922748281,-0.14023605574131123
highway_fuel_economy,0.9407282667014243,0.0014957748987217366,-0.6946827876377399,1.0,-0.7038704803552281,-0.13815008199725812,-0.12788807347010983,-0.25542965185514743,-0.04796851937949759,0.14668771691166316
horsepower,-0.6725282035199251,-0.019620898539606357,0.8296725876368596,-0.7038704803552281,1.0,-0.015666863772018633,0.004662625474360484,0.605403702619539,0.060758632460918754,0.0287163730296131
mileage,-0.15117910885513405,-0.049870944595332534,0.1507499376415455,-0.13815008199725812,-0.015666863772018633,1.0,0.520749812887684,-0.27408160402016674,0.020841324417272537,-0.4709399363833044
owner_count,-0.127529612311828,0.10159900985839815,0.12313404599304714,-0.12788807347010983,0.004662625474360484,0.520749812887684,1.0,-0.23060166563281873,0.007479913767063918,-0.591895360924611
price,-0.17761856143632546,0.06328823863008111,0.3754935778877691,-0.25542965185514743,0.605403702619539,-0.27408160402016674,-0.23060166563281873,1.0,0.06722958937321792,0.355365517553149
seller_rating,-0.03796809308008972,-0.003905214037690651,0.02792664922748281,-0.04796851937949759,0.060758632460918754,0.020841324417272537,0.007479913767063918,0.06722958937321792,1.0,-0.04778009686998365
year,0.15522656316172959,-0.0017314696922437493,-0.14023605574131123,0.14668771691166316,0.0287163730296131,-0.4709399363833044,-0.591895360924611,0.355365517553149,-0.04778009686998365,1.0
