iteration,loss,gradient_norm,step_size,line_search_iter,condition_number
0,0.02130753964467187,0.19825753727170534,1.0,1,10.79018304505744
10,0.012067076371375884,0.004719261014705508,0.2621440000000001,7,10.751630502513569
20,0.0119526047248205,0.001088230170367828,1.0,1,21.84025586934476
30,0.011946994754341045,0.0003156772476404141,0.32768000000000014,6,11.985586285367573
40,0.011946068730804449,0.00016100205184573483,1.0,1,15.251901603911634
50,0.011946019091017043,1.767229599066513e-05,0.8,2,12.192216440629133
60,0.011946018492695942,1.769935933466254e-05,1.0,1,13.352914598645455
70,0.011946018054861167,1.7487300030978168e-05,1.0,1,11.213910179914928
80,0.011946017686864693,1.7213836356332327e-05,1.0,1,12.465869596377056
90,0.011946017361141835,1.6866066700450204e-05,0.8,2,10.595082873740884
100,0.011946017064006019,1.6445513275411488e-05,1.0,1,10.761914652945816
110,0.011946016787983358,1.5972204974953303e-05,1.0,1,34.07617000111803
120,0.011946016528591388,1.5469428972256033e-05,1.0,1,64.23786752235873
130,0.011946016282864394,1.4957097219972884e-05,1.0,1,79.70599176452583
140,0.011946016048657757,1.4450125787577812e-05,1.0,1,90.95571273934038
150,0.011946015824310416,1.3958794156610042e-05,1.0,1,113.31912111770764
160,0.011946015608474487,1.3489681514312683e-05,1.0,1,129.43863763368253
170,0.01194601540002417,1.3046625779162655e-05,1.0,1,167.5235191385527
180,0.011946015198003057,1.2631524724333421e-05,1.0,1,194.98013660782658
190,0.011946015001590673,1.2244948792669422e-05,1.0,1,223.41864659113523
200,0.011946014810079198,1.1886588082647803e-05,1.0,1,254.71355793841613
210,0.011946014622855983,1.1555568953080382e-05,1.0,1,300.70104319096225
220,0.011946014439389679,1.1250673798569986e-05,1.0,1,332.0757460647996
230,0.01194601425921883,1.0970491238984608e-05,1.0,1,343.44533336802346
240,0.011946014081942256,1.071351732484193e-05,1.0,1,357.1082070681488
250,0.011946013907210925,1.047822273015947e-05,1.0,1,387.442184702538
260,0.011946013734720934,1.026309655433645e-05,1.0,1,425.83155101845745
270,0.011946013564207485,1.006667415309252e-05,1.0,1,448.3916225280274
280,0.01194601339543971,9.88755412554869e-06,1.0,1,451.02500192067174
