epoch,loss
1,6.901668148557476e+23
2,2.320065426045643e+24
3,6.629936847926425e+24
4,1.0325166902533497e+25
5,4.393305885020746e+24
6,1.3214564689037954e+24
7,4.240727228506209e+24
8,2.132371246335021e+24
9,1.115496118517094e+25
10,4.818232152185782e+24
11,1.8816871029444386e+24
12,1.1932391420059051e+24
13,1.032817283659527e+25
14,9.929824291859553e+24
15,3.0321616321502615e+24
16,1.0240725008847016e+25
17,1.7506375834780734e+24
18,1.3668215868910466e+24
19,2.841947095945887e+24
20,1.7744583720046254e+24
21,1.5488824563810327e+24
22,3.4419441663198715e+24
23,2.8406069852475705e+24
24,3.3008213084573953e+24
25,1.1448863375822153e+25
26,1.9384864580301717e+24
27,1.3782119488971714e+24
28,1.37283024107282e+24
29,1.11394253202748e+25
30,1.3096266474379702e+24
31,3.625272334073039e+24
32,2.285755135612472e+24
33,2.2996277486704408e+24
34,9.324618915780265e+24
35,1.7486562415546301e+24
36,1.0961045644825635e+25
37,3.3501642703616587e+24
38,1.5786960962965427e+24
39,5.893441004883304e+24
40,2.1964514329919486e+24
41,2.0880699356334407e+24
42,1.8981599692834607e+24
43,8.146625358650302e+24
44,1.6829615584475507e+24
45,1.594176804840137e+24
46,1.5277223541019392e+24
47,1.7090243963657405e+24
48,1.357767078266216e+24
49,1.687604915380645e+24
50,1.4086597158759476e+24
51,1.804555446122427e+24
52,1.6389821503611317e+24
53,1.6349591872132278e+24
54,1.6248835138801995e+24
55,1.3100997608967398e+24
56,1.341586797964722e+24
57,1.1049242710807073e+24
58,1.0191647882478811e+24
59,1.8030855630848306e+24
60,2.2655383862296567e+24
61,4.912284034258318e+24
62,2.909175570826269e+24
63,2.50549446421643e+24
64,2.425523089549613e+24
65,1.8637509123595802e+24
66,1.3902827333435062e+24
67,2.44845060720925e+24
68,9.873229491137808e+24
69,1.4636355017998418e+24
70,3.739873584288909e+24
71,1.4501129431014827e+24
72,2.5845780996566376e+24
73,2.977075696413375e+24
74,1.1521006372496331e+25
75,1.8301435197849327e+24
76,1.080555479553785e+25
77,1.2603319641029186e+24
78,2.4146994147634632e+24
79,1.7134949691915598e+24
80,1.1494449792631769e+25
81,1.5994359257418008e+24
82,1.1192299926220231e+25
83,1.5840990552055528e+24
84,1.332381498396842e+24
85,1.885699162171583e+24
86,1.6945342582390517e+24
87,1.5845505362173128e+24
88,2.0704470629979155e+24
89,2.1318907793490645e+24
90,1.136258793516059e+25
91,4.031001094771755e+24
92,1.392002148724442e+24
93,2.3591215271920663e+24
94,2.5972821356425547e+24
95,1.3900657876804864e+24
96,1.1331869830499416e+25
97,1.5419053517817154e+24
98,1.730114099328544e+24
99,5.250265738653893e+24
100,3.741714292757375e+24
